Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6",0402,3,1µ,C52923
"C2, C3",1206,2,10µ,C13585
C4,0603,1,100n,C14663
C7,0603,1,22µ,C59461
C8,0402,1,100n,C1525
D1,SMA_L4.3-W2.6-LS5.2-RD,1,SS34,C8678
D2,0603,1,POWER,C2286
D3,0603,1,LED,C72041
J1,PinHeader_1x22_P2.54mm_Vertical,1,Left,
J2,PinHeader_1x22_P2.54mm_Vertical,1,Right,
"JP1, JP2, JP3",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,3,Jumper_3_Open,
JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
L1,IND-SMD_L4.5-W4.0,1,PSPCAQ43-100M,C436403
"R1, R10, R11, R5, R6, R9",0402,6,10k,C25744
R12,0402,1,300R,C25102
"R2, R7, R8",0402,3,1k,C11702
R3,0603,1,13k,C22797
R4,0603,1,3k9,C23018
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,RESET,C318884
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SOT-23-6_L2.9-W1.7-P0.95-LS2.8-BL,1,LGS5145,C5123971
U4,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,CH224K,C970725
USB1,USB-C_SMD-TYPE-C-31-M-12,1,PWR,C2927038
USB2,USB-C_SMD-TYPE-C-31-M-12,1,DATA,C2927038
